L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.629039,0.77568,0.792209,0.749975,1.257481,1.434766,1.44004,1.415664,0.569611,0.536341,0.576709,0.628886,0.463403,0.485164,0.443845,0.39811,0.138685,0.041185,0.050666,0.043339,0.058756,0.078955,0.090808,0.058137
0.627309,0.77145,0.788013,0.74575,1.25402,1.431516,1.437087,1.412377,0.569512,0.536253,0.576713,0.628899,0.463628,0.485636,0.444337,0.398391,0.141869,0.041392,0.050692,0.043808,0.059514,0.076191,0.087981,0.055949
0.625632,0.766972,0.783583,0.741294,1.250262,1.427971,1.433853,1.408791,0.569406,0.536169,0.576715,0.628908,0.463829,0.486113,0.444832,0.398665,0.145341,0.041662,0.050747,0.044389,0.060283,0.073386,0.085103,0.053746
0.62407,0.762285,0.778958,0.736651,1.246213,1.424131,1.430332,1.404908,0.569292,0.536089,0.576712,0.628913,0.463999,0.486587,0.44532,0.398923,0.149098,0.042006,0.050842,0.045103,0.061047,0.070592,0.082226,0.051575
0.62268,0.757436,0.774186,0.731869,1.241883,1.420002,1.426526,1.400735,0.56917,0.536016,0.576706,0.628912,0.464129,0.487048,0.445793,0.39916,0.153133,0.042442,0.050984,0.045971,0.061794,0.067861,0.079401,0.049479
0.621523,0.752477,0.769313,0.726999,1.237288,1.415597,1.422442,1.396284,0.569041,0.535951,0.576698,0.628901,0.464214,0.48749,0.446243,0.399369,0.157435,0.042987,0.051185,0.047013,0.06251,0.065241,0.076679,0.047502
0.620652,0.747462,0.76439,0.722093,1.232443,1.41093,1.418091,1.391572,0.568905,0.535894,0.576687,0.628879,0.464253,0.487906,0.446665,0.399545,0.161989,0.043656,0.051452,0.048247,0.063185,0.062771,0.074101,0.045678
0.620117,0.742445,0.759463,0.717202,1.227369,1.40602,1.413485,1.38662,0.568763,0.535847,0.576678,0.628842,0.464247,0.488294,0.447056,0.399687,0.166777,0.044468,0.051798,0.049693,0.063813,0.060484,0.071702,0.044036
0.619962,0.737479,0.754578,0.712374,1.222086,1.400886,1.408641,1.381448,0.568614,0.535808,0.576671,0.628788,0.464201,0.488651,0.447415,0.399793,0.171778,0.04544,0.052232,0.051363,0.064388,0.058403,0.069508,0.042591
0.620223,0.732614,0.749779,0.707656,1.216617,1.395552,1.403576,1.376078,0.56846,0.53578,0.57667,0.628713,0.464119,0.488977,0.447743,0.399868,0.17697,0.046585,0.052764,0.053271,0.064907,0.056539,0.067536,0.041351
0.620929,0.727902,0.745108,0.703092,1.210986,1.390042,1.398313,1.370535,0.568298,0.535763,0.576677,0.628615,0.464009,0.489271,0.448038,0.399915,0.182326,0.047915,0.053405,0.055423,0.06537,0.054897,0.065789,0.040312
0.622101,0.723388,0.740609,0.698725,1.205217,1.384379,1.392872,1.364839,0.56813,0.535759,0.576694,0.628493,0.463878,0.489534,0.4483,0.399937,0.187819,0.049438,0.054165,0.057823,0.065779,0.053471,0.064266,0.03946
0.623752,0.719121,0.736321,0.694598,1.199331,1.378587,1.387277,1.359013,0.567955,0.535768,0.576724,0.628345,0.463735,0.489766,0.448528,0.39994,0.193418,0.051158,0.05505,0.060467,0.066136,0.052251,0.062956,0.038777
0.625887,0.715145,0.732285,0.69075,1.193351,1.372689,1.38155,1.353078,0.56777,0.535791,0.576769,0.628169,0.463587,0.489967,0.448724,0.399927,0.199088,0.053073,0.056068,0.063346,0.066446,0.05122,0.061845,0.038242
