FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
84.385857,0,-44.273449,0,655.497009,0
85.066048,0,-44.121571,0,654.713562,0
85.773499,0,-43.941978,0,653.864502,0
86.50573,0,-43.736702,0,652.947937,0
87.2603,0,-43.507664,0,651.961914,0
88.034851,0,-43.256695,0,650.904358,0
88.827042,0,-42.985493,0,649.773438,0
89.634605,19.425568,-42.695709,1.656038,648.567078,0.562259
90.455299,19.141672,-42.388893,1.301409,647.283569,1.772933
91.286934,18.840281,-42.066551,0.939815,645.920898,3.077741
92.127312,18.522369,-41.730106,0.571426,644.477173,4.480443
92.974266,18.188829,-41.380932,0.196408,642.950806,5.984788
93.825706,17.840462,-41.020313,-0.185072,641.339783,7.594509
94.679581,17.477966,-40.649494,-0.572842,639.642395,9.31331
95.533897,17.10194,-40.269596,-0.966718,637.856995,11.144857
96.386742,16.712889,-39.881687,-1.366505,635.981873,13.092766
97.236221,16.311249,-39.486732,-1.771988,634.015503,15.160603
98.080505,15.897354,-39.085621,-2.182942,631.956238,17.351868
98.917786,15.471477,-38.679165,-2.599133,629.802612,19.669992
99.746277,15.033813,-38.268105,-3.020322,627.55304,22.118315
100.564262,14.584485,-37.853138,-3.446265,625.206238,24.70006
101.370033,14.123548,-37.434898,-3.87671,622.760803,27.418341
102.161972,13.65099,-37.013981,-4.311393,620.215454,30.276148
102.938477,13.166733,-36.590931,-4.750037,617.569214,33.27634
103.69796,12.670635,-36.166222,-5.192348,614.820801,36.421638
104.438911,12.162483,-35.740307,-5.638,611.969238,39.714619
105.159859,11.641993,-35.31356,-6.086632,609.013733,43.157665
105.859344,11.108813,-34.886303,-6.537832,605.953247,46.752979
106.536003,10.562529,-34.458794,-6.991138,602.787231,50.502548
107.188484,10.002669,-34.031246,-7.446035,599.514893,54.408127
107.815475,9.428717,-33.603821,-7.901964,596.135742,58.471237
108.41571,8.840113,-33.176651,-8.35833,592.64917,62.693104
108.987953,8.236263,-32.749832,-8.814506,589.054932,67.074699
109.530975,7.616533,-32.323437,-9.26983,585.352661,71.616661
110.043633,6.980253,-31.897497,-9.723621,581.542175,76.319283
110.524773,6.326712,-31.472033,-10.175165,577.623352,81.182518
